Epoch 184    Validation MSELoss: 2.629444e-05    Training MSELoss: 4.052080e-05
Epoch 185    Validation MSELoss: 3.951138e-05    Training MSELoss: 4.202619e-05
Epoch 186    Validation MSELoss: 3.015673e-05    Training MSELoss: 4.288932e-05
Epoch 187    Validation MSELoss: 2.687926e-05    Training MSELoss: 4.304773e-05
Epoch 188    Validation MSELoss: 2.670802e-05    Training MSELoss: 4.090528e-05
Epoch 189    Validation MSELoss: 2.930669e-05    Training MSELoss: 4.518365e-05
Epoch 190    Validation MSELoss: 2.215941e-05    Training MSELoss: 4.119402e-05
Epoch 191    Validation MSELoss: 2.634474e-05    Training MSELoss: 5.683313e-05
Epoch 192    Validation MSELoss: 2.594934e-05    Training MSELoss: 3.966580e-05
Epoch 193    Validation MSELoss: 2.898195e-05    Training MSELoss: 3.878938e-05
Epoch 194    Validation MSELoss: 2.548024e-05    Training MSELoss: 3.944995e-05
Epoch 195    Validation MSELoss: 2.965974e-05    Training MSELoss: 4.320551e-05
Epoch 196    Validation MSELoss: 2.514718e-05    Training MSELoss: 3.939830e-05
Epoch 197    Validation MSELoss: 3.020537e-05    Training MSELoss: 3.852148e-05
Epoch 198    Validation MSELoss: 2.254849e-05    Training MSELoss: 3.929678e-05
Epoch 199    Validation MSELoss: 3.186035e-05    Training MSELoss: 3.850827e-05
Epoch 200    Validation MSELoss: 2.173444e-05    Training MSELoss: 3.769061e-05
Epoch 201    Validation MSELoss: 2.609598e-05    Training MSELoss: 3.798403e-05
Epoch 202    Validation MSELoss: 2.636137e-05    Training MSELoss: 3.714387e-05
Epoch 203    Validation MSELoss: 2.228695e-05    Training MSELoss: 4.585626e-05
Epoch 204    Validation MSELoss: 2.201922e-05    Training MSELoss: 3.757977e-05
Epoch 205    Validation MSELoss: 2.212069e-05    Training MSELoss: 3.533278e-05
Epoch 206    Validation MSELoss: 2.808119e-05    Training MSELoss: 3.636132e-05
Epoch 207    Validation MSELoss: 2.700735e-05    Training MSELoss: 3.622610e-05
Epoch 208    Validation MSELoss: 2.305551e-05    Training MSELoss: 3.768999e-05
Epoch 209    Validation MSELoss: 2.251271e-05    Training MSELoss: 3.568952e-05
Epoch 210    Validation MSELoss: 2.591659e-05    Training MSELoss: 3.468733e-05
Epoch 211    Validation MSELoss: 2.824474e-05    Training MSELoss: 3.506145e-05
Epoch 212    Validation MSELoss: 2.599681e-05    Training MSELoss: 3.409189e-05
Epoch 213    Validation MSELoss: 2.150158e-05    Training MSELoss: 3.416254e-05
Epoch 214    Validation MSELoss: 2.127381e-05    Training MSELoss: 3.389679e-05
Epoch 215    Validation MSELoss: 2.179813e-05    Training MSELoss: 3.391418e-05
Epoch 216    Validation MSELoss: 2.339815e-05    Training MSELoss: 3.535069e-05
Epoch 217    Validation MSELoss: 2.351015e-05    Training MSELoss: 3.732144e-05
Epoch 218    Validation MSELoss: 1.970589e-05    Training MSELoss: 3.409551e-05
Epoch 219    Validation MSELoss: 1.830041e-05    Training MSELoss: 3.422761e-05
Epoch 220    Validation MSELoss: 1.976684e-05    Training MSELoss: 3.420391e-05
Epoch 221    Validation MSELoss: 1.886668e-05    Training MSELoss: 3.615520e-05
Epoch 222    Validation MSELoss: 2.047106e-05    Training MSELoss: 3.267847e-05
Epoch 223    Validation MSELoss: 2.442561e-05    Training MSELoss: 3.243293e-05
Epoch 224    Validation MSELoss: 1.979049e-05    Training MSELoss: 3.331156e-05
Epoch 225    Validation MSELoss: 1.969408e-05    Training MSELoss: 3.185158e-05
Epoch 226    Validation MSELoss: 1.939302e-05    Training MSELoss: 3.889100e-05
Epoch 227    Validation MSELoss: 2.228749e-05    Training MSELoss: 3.179932e-05
Epoch 228    Validation MSELoss: 2.450564e-05    Training MSELoss: 3.242739e-05
Epoch 229    Validation MSELoss: 2.655173e-05    Training MSELoss: 3.195095e-05
Epoch 230    Validation MSELoss: 2.102868e-05    Training MSELoss: 3.307703e-05
Epoch 231    Validation MSELoss: 1.917945e-05    Training MSELoss: 3.370774e-05
Epoch 232    Validation MSELoss: 2.312956e-05    Training MSELoss: 3.479674e-05
Epoch 233    Validation MSELoss: 2.112973e-05    Training MSELoss: 3.082543e-05
Epoch 234    Validation MSELoss: 2.044148e-05    Training MSELoss: 3.063864e-05
Epoch 235    Validation MSELoss: 1.800550e-05    Training MSELoss: 3.100953e-05
Epoch 236    Validation MSELoss: 1.780594e-05    Training MSELoss: 3.361150e-05
Epoch 237    Validation MSELoss: 1.821524e-05    Training MSELoss: 3.405708e-05
Epoch 238    Validation MSELoss: 1.776761e-05    Training MSELoss: 3.005859e-05
Epoch 239    Validation MSELoss: 1.913609e-05    Training MSELoss: 3.147404e-05
Epoch 240    Validation MSELoss: 1.984933e-05    Training MSELoss: 3.050299e-05
Epoch 241    Validation MSELoss: 2.333719e-05    Training MSELoss: 3.288632e-05
Epoch 242    Validation MSELoss: 1.851138e-05    Training MSELoss: 2.918365e-05
Epoch 243    Validation MSELoss: 1.692656e-05    Training MSELoss: 2.988670e-05
Epoch 244    Validation MSELoss: 2.125533e-05    Training MSELoss: 3.009954e-05
Epoch 245    Validation MSELoss: 1.918822e-05    Training MSELoss: 2.979184e-05
Epoch 246    Validation MSELoss: 1.785887e-05    Training MSELoss: 3.717246e-05
Epoch 247    Validation MSELoss: 1.651871e-05    Training MSELoss: 3.043695e-05
Epoch 248    Validation MSELoss: 1.656402e-05    Training MSELoss: 3.058206e-05
Epoch 249    Validation MSELoss: 2.014957e-05    Training MSELoss: 2.979387e-05
Epoch 250    Validation MSELoss: 1.907542e-05    Training MSELoss: 2.959491e-05
Epoch 251    Validation MSELoss: 1.798283e-05    Training MSELoss: 2.742379e-05
Epoch 252    Validation MSELoss: 1.653845e-05    Training MSELoss: 2.989929e-05
Epoch 253    Validation MSELoss: 1.575592e-05    Training MSELoss: 2.872807e-05
Epoch 254    Validation MSELoss: 1.773607e-05    Training MSELoss: 2.893429e-05
Epoch 255    Validation MSELoss: 1.753135e-05    Training MSELoss: 2.835196e-05
Epoch 256    Validation MSELoss: 1.835496e-05    Training MSELoss: 2.831340e-05
Epoch 257    Validation MSELoss: 1.848218e-05    Training MSELoss: 2.696321e-05
Epoch 258    Validation MSELoss: 1.671960e-05    Training MSELoss: 2.744175e-05
Epoch 259    Validation MSELoss: 1.460120e-05    Training MSELoss: 2.829873e-05
Epoch 260    Validation MSELoss: 1.558224e-05    Training MSELoss: 2.789053e-05
Epoch 261    Validation MSELoss: 1.686677e-05    Training MSELoss: 2.735501e-05
Epoch 262    Validation MSELoss: 1.556759e-05    Training MSELoss: 2.845917e-05
Epoch 263    Validation MSELoss: 1.555981e-05    Training MSELoss: 2.720433e-05
Epoch 264    Validation MSELoss: 1.424363e-05    Training MSELoss: 2.760570e-05
Epoch 265    Validation MSELoss: 1.622395e-05    Training MSELoss: 2.732852e-05
Epoch 266    Validation MSELoss: 1.496076e-05    Training MSELoss: 2.839049e-05
Epoch 267    Validation MSELoss: 1.480653e-05    Training MSELoss: 2.888246e-05
Epoch 268    Validation MSELoss: 1.622557e-05    Training MSELoss: 2.692408e-05
Epoch 269    Validation MSELoss: 1.651892e-05    Training MSELoss: 2.806153e-05
Epoch 270    Validation MSELoss: 1.584491e-05    Training MSELoss: 2.711982e-05
Epoch 271    Validation MSELoss: 1.508355e-05    Training MSELoss: 2.794319e-05
Epoch 272    Validation MSELoss: 1.424438e-05    Training MSELoss: 2.723123e-05
Epoch 273    Validation MSELoss: 1.431375e-05    Training MSELoss: 2.861463e-05
Epoch 274    Validation MSELoss: 1.438177e-05    Training MSELoss: 2.675502e-05
Epoch 275    Validation MSELoss: 1.573668e-05    Training MSELoss: 2.646346e-05
Epoch 276    Validation MSELoss: 1.489221e-05    Training MSELoss: 2.614932e-05
Epoch 277    Validation MSELoss: 1.319257e-05    Training MSELoss: 2.627177e-05
Epoch 278    Validation MSELoss: 1.386553e-05    Training MSELoss: 2.590567e-05
Epoch 279    Validation MSELoss: 1.433060e-05    Training MSELoss: 2.701686e-05
Epoch 280    Validation MSELoss: 1.594684e-05    Training MSELoss: 2.512420e-05
Epoch 281    Validation MSELoss: 1.328943e-05    Training MSELoss: 2.525440e-05
Epoch 282    Validation MSELoss: 1.462597e-05    Training MSELoss: 2.558269e-05
Epoch 283    Validation MSELoss: 1.393455e-05    Training MSELoss: 2.820061e-05
Epoch 284    Validation MSELoss: 1.426982e-05    Training MSELoss: 2.484970e-05
Epoch 285    Validation MSELoss: 1.722166e-05    Training MSELoss: 2.665440e-05
Epoch 286    Validation MSELoss: 1.447942e-05    Training MSELoss: 2.415033e-05
Epoch 287    Validation MSELoss: 1.290758e-05    Training MSELoss: 2.592379e-05
Epoch 288    Validation MSELoss: 1.447680e-05    Training MSELoss: 2.466105e-05
Epoch 289    Validation MSELoss: 1.336906e-05    Training MSELoss: 3.140303e-05
Epoch 290    Validation MSELoss: 1.359324e-05    Training MSELoss: 2.535277e-05
Epoch 291    Validation MSELoss: 1.350171e-05    Training MSELoss: 2.586027e-05
Epoch 292    Validation MSELoss: 1.243973e-05    Training MSELoss: 2.572254e-05
Epoch 293    Validation MSELoss: 1.314894e-05    Training MSELoss: 2.570965e-05
Epoch 294    Validation MSELoss: 1.343940e-05    Training MSELoss: 2.462952e-05
Epoch 295    Validation MSELoss: 1.284713e-05    Training MSELoss: 2.463774e-05
Epoch 296    Validation MSELoss: 1.162418e-05    Training MSELoss: 2.310162e-05
Epoch 297    Validation MSELoss: 1.248735e-05    Training MSELoss: 2.446272e-05
Epoch 298    Validation MSELoss: 1.250456e-05    Training MSELoss: 2.465482e-05
Epoch 299    Validation MSELoss: 1.202881e-05    Training MSELoss: 2.374777e-05
Epoch 300    Validation MSELoss: 1.404523e-05    Training MSELoss: 2.457489e-05
Epoch 301    Validation MSELoss: 1.110514e-05    Training MSELoss: 2.607929e-05
Epoch 302    Validation MSELoss: 1.148179e-05    Training MSELoss: 2.441756e-05
Epoch 303    Validation MSELoss: 1.163004e-05    Training MSELoss: 2.432612e-05
Epoch 304    Validation MSELoss: 1.273300e-05    Training MSELoss: 2.398337e-05
Epoch 305    Validation MSELoss: 1.156019e-05    Training MSELoss: 2.314885e-05
Epoch 306    Validation MSELoss: 1.069854e-05    Training MSELoss: 2.311455e-05
Epoch 307    Validation MSELoss: 1.188454e-05    Training MSELoss: 2.238545e-05
Epoch 308    Validation MSELoss: 1.165683e-05    Training MSELoss: 2.366840e-05
Epoch 309    Validation MSELoss: 1.067175e-05    Training MSELoss: 2.476511e-05
Epoch 310    Validation MSELoss: 1.082212e-05    Training MSELoss: 2.418786e-05
Epoch 311    Validation MSELoss: 1.073380e-05    Training MSELoss: 2.311106e-05
Epoch 312    Validation MSELoss: 1.056368e-05    Training MSELoss: 2.321747e-05
Epoch 313    Validation MSELoss: 1.003924e-05    Training MSELoss: 2.364034e-05
Epoch 314    Validation MSELoss: 1.201075e-05    Training MSELoss: 2.213966e-05
Epoch 315    Validation MSELoss: 1.056532e-05    Training MSELoss: 2.253005e-05
Epoch 316    Validation MSELoss: 1.244459e-05    Training MSELoss: 2.216055e-05
Epoch 317    Validation MSELoss: 1.091897e-05    Training MSELoss: 2.448958e-05
Epoch 318    Validation MSELoss: 1.129141e-05    Training MSELoss: 2.262602e-05
Epoch 319    Validation MSELoss: 1.007008e-05    Training MSELoss: 2.190139e-05
Epoch 320    Validation MSELoss: 1.035612e-05    Training MSELoss: 2.239076e-05
Epoch 321    Validation MSELoss: 1.172238e-05    Training MSELoss: 2.180331e-05
Epoch 322    Validation MSELoss: 1.008506e-05    Training MSELoss: 2.167372e-05
Epoch 323    Validation MSELoss: 1.100864e-05    Training MSELoss: 2.248445e-05
Epoch 324    Validation MSELoss: 1.112274e-05    Training MSELoss: 2.185261e-05
Epoch 325    Validation MSELoss: 1.033472e-05    Training MSELoss: 2.357106e-05
Epoch 326    Validation MSELoss: 9.880124e-06    Training MSELoss: 2.232786e-05
Epoch 327    Validation MSELoss: 1.039246e-05    Training MSELoss: 2.154621e-05
Epoch 328    Validation MSELoss: 9.545506e-06    Training MSELoss: 2.216928e-05
Epoch 329    Validation MSELoss: 9.872946e-06    Training MSELoss: 2.196823e-05
Epoch 330    Validation MSELoss: 1.000352e-05    Training MSELoss: 2.116385e-05
Epoch 331    Validation MSELoss: 9.280638e-06    Training MSELoss: 2.189769e-05
Epoch 332    Validation MSELoss: 1.031725e-05    Training MSELoss: 2.131591e-05
