Epoch 191    Validation MSELoss: 5.203769e-05    Training MSELoss: 8.649718e-05
Epoch 192    Validation MSELoss: 4.885836e-05    Training MSELoss: 8.914072e-05
Epoch 193    Validation MSELoss: 2.669043e-05    Training MSELoss: 1.236344e-04
Epoch 194    Validation MSELoss: 3.874466e-05    Training MSELoss: 8.084385e-05
Epoch 195    Validation MSELoss: 3.303526e-05    Training MSELoss: 8.464105e-05
Epoch 196    Validation MSELoss: 3.880933e-05    Training MSELoss: 7.895071e-05
Epoch 197    Validation MSELoss: 3.674210e-05    Training MSELoss: 7.800591e-05
Epoch 198    Validation MSELoss: 3.770426e-05    Training MSELoss: 8.259393e-05
Epoch 199    Validation MSELoss: 3.275770e-05    Training MSELoss: 8.185576e-05
Epoch 200    Validation MSELoss: 3.026583e-05    Training MSELoss: 7.765848e-05
Epoch 201    Validation MSELoss: 4.611549e-05    Training MSELoss: 7.659685e-05
Epoch 202    Validation MSELoss: 4.357087e-05    Training MSELoss: 7.742332e-05
Epoch 203    Validation MSELoss: 3.583135e-05    Training MSELoss: 7.339422e-05
Epoch 204    Validation MSELoss: 2.815601e-05    Training MSELoss: 7.522727e-05
Epoch 205    Validation MSELoss: 7.563377e-05    Training MSELoss: 8.360096e-05
Epoch 206    Validation MSELoss: 5.242811e-05    Training MSELoss: 7.191517e-05
Epoch 207    Validation MSELoss: 3.079993e-05    Training MSELoss: 7.603984e-05
Epoch 208    Validation MSELoss: 4.319639e-05    Training MSELoss: 7.700126e-05
Epoch 209    Validation MSELoss: 2.515271e-05    Training MSELoss: 7.304081e-05
Epoch 210    Validation MSELoss: 4.029107e-05    Training MSELoss: 7.795989e-05
Epoch 211    Validation MSELoss: 2.345001e-05    Training MSELoss: 7.825309e-05
Epoch 212    Validation MSELoss: 3.645018e-05    Training MSELoss: 7.832058e-05
Epoch 213    Validation MSELoss: 2.779484e-05    Training MSELoss: 7.056432e-05
Epoch 214    Validation MSELoss: 2.104221e-05    Training MSELoss: 7.734551e-05
Epoch 215    Validation MSELoss: 4.837739e-05    Training MSELoss: 8.302785e-05
Epoch 216    Validation MSELoss: 3.481230e-05    Training MSELoss: 6.912772e-05
Epoch 217    Validation MSELoss: 5.123615e-05    Training MSELoss: 7.151032e-05
Epoch 218    Validation MSELoss: 3.825400e-05    Training MSELoss: 7.968372e-05
Epoch 219    Validation MSELoss: 3.295330e-05    Training MSELoss: 6.938982e-05
Epoch 220    Validation MSELoss: 3.982997e-05    Training MSELoss: 6.998092e-05
Epoch 221    Validation MSELoss: 3.428747e-05    Training MSELoss: 7.016181e-05
Epoch 222    Validation MSELoss: 3.526592e-05    Training MSELoss: 7.363057e-05
Epoch 223    Validation MSELoss: 1.880439e-05    Training MSELoss: 7.128552e-05
Epoch 224    Validation MSELoss: 2.572855e-05    Training MSELoss: 6.758745e-05
Epoch 225    Validation MSELoss: 4.147903e-05    Training MSELoss: 7.425897e-05
Epoch 226    Validation MSELoss: 2.715416e-05    Training MSELoss: 1.195061e-04
Epoch 227    Validation MSELoss: 1.848813e-05    Training MSELoss: 7.563905e-05
Epoch 228    Validation MSELoss: 2.922941e-05    Training MSELoss: 7.289454e-05
Epoch 229    Validation MSELoss: 2.485211e-05    Training MSELoss: 1.023574e-04
