Epoch 295    Validation MSELoss: 6.964765e-04    Training MSELoss: 1.031474e-03
Epoch 296    Validation MSELoss: 8.651502e-04    Training MSELoss: 1.049278e-03
Epoch 297    Validation MSELoss: 6.389420e-04    Training MSELoss: 1.000991e-03
Epoch 298    Validation MSELoss: 7.730376e-04    Training MSELoss: 9.639967e-04
Epoch 299    Validation MSELoss: 8.179666e-04    Training MSELoss: 9.620981e-04
Epoch 300    Validation MSELoss: 7.028683e-04    Training MSELoss: 9.177190e-04
Epoch 301    Validation MSELoss: 9.711250e-04    Training MSELoss: 8.943097e-04
Epoch 302    Validation MSELoss: 7.423207e-04    Training MSELoss: 9.074199e-04
Epoch 303    Validation MSELoss: 6.217830e-04    Training MSELoss: 9.007853e-04
Epoch 304    Validation MSELoss: 1.242397e-03    Training MSELoss: 9.482148e-04
Epoch 305    Validation MSELoss: 1.243621e-03    Training MSELoss: 1.009500e-03
Epoch 306    Validation MSELoss: 6.506921e-04    Training MSELoss: 9.448449e-04
Epoch 307    Validation MSELoss: 8.138188e-04    Training MSELoss: 8.955572e-04
Epoch 308    Validation MSELoss: 1.203542e-03    Training MSELoss: 8.742572e-04
Epoch 309    Validation MSELoss: 5.511481e-04    Training MSELoss: 8.551115e-04
Epoch 310    Validation MSELoss: 6.772643e-04    Training MSELoss: 8.880947e-04
Epoch 311    Validation MSELoss: 6.688986e-04    Training MSELoss: 8.706513e-04
Epoch 312    Validation MSELoss: 6.334441e-04    Training MSELoss: 8.270661e-04
Epoch 313    Validation MSELoss: 7.321399e-04    Training MSELoss: 8.214854e-04
Epoch 314    Validation MSELoss: 5.685714e-04    Training MSELoss: 8.484250e-04
Epoch 315    Validation MSELoss: 6.887304e-04    Training MSELoss: 8.619142e-04
Epoch 316    Validation MSELoss: 5.207435e-04    Training MSELoss: 8.282688e-04
Epoch 317    Validation MSELoss: 1.129517e-03    Training MSELoss: 8.447418e-04
Epoch 318    Validation MSELoss: 7.087832e-04    Training MSELoss: 8.455389e-04
Epoch 319    Validation MSELoss: 8.400480e-04    Training MSELoss: 8.062261e-04
Epoch 320    Validation MSELoss: 5.600735e-04    Training MSELoss: 7.916095e-04
Epoch 321    Validation MSELoss: 9.255001e-04    Training MSELoss: 8.495403e-04
Epoch 322    Validation MSELoss: 7.936709e-04    Training MSELoss: 8.647222e-04
Epoch 323    Validation MSELoss: 7.086688e-04    Training MSELoss: 8.721275e-04
Epoch 324    Validation MSELoss: 5.169468e-04    Training MSELoss: 8.789464e-04
Epoch 325    Validation MSELoss: 7.242095e-04    Training MSELoss: 8.762585e-04
Epoch 326    Validation MSELoss: 5.352973e-04    Training MSELoss: 8.273845e-04
Epoch 327    Validation MSELoss: 5.371752e-04    Training MSELoss: 7.818771e-04
Epoch 328    Validation MSELoss: 5.567615e-04    Training MSELoss: 7.678908e-04
Epoch 329    Validation MSELoss: 5.138273e-04    Training MSELoss: 7.429541e-04
Epoch 330    Validation MSELoss: 6.573194e-04    Training MSELoss: 7.505654e-04
Epoch 331    Validation MSELoss: 7.488195e-04    Training MSELoss: 7.314673e-04
Epoch 332    Validation MSELoss: 6.710925e-04    Training MSELoss: 7.360518e-04
